rank,handle,profile_url,followers,score_overall,score_mission_fit,score_authenticity,score_engagement,score_reach,recommended_lane,warm_lead,competitor_conquest,authenticity_band,why_fit
1,nikkionherway,https://www.tiktok.com/@nikkionherway,193800,8.5,9,8,8,7,travel,True,False,authentic,"A warm-flagged solo international travel creator whose ""what's in my bag"" / travel-essentials format is a natural, zero-effort hook for seeding the Sip on trips to Europe, Africa, and beyond."
2,kayli.kiing,https://www.tiktok.com/@kayli.kiing,842900,8.5,9,7,7,8,travel,True,False,review,"Kayli already ran a paid LifeStraw water-bottle ad during her 5-month solo Asia backpacking trip, making her a proven warm partner whose #packwithme travel audience is the Sip's exact target."
3,rileejsmith,https://www.tiktok.com/@rileejsmith,410600,8.5,9,9,8,8,travel,False,False,authentic,"Rilee is TikTok's carry-on-only packing authority (410K, 14.5M likes, 57 bags reviewed in 2025) whose ""every item earns its spot"" philosophy makes the 1.8 oz Sip a textbook carry-on essential for her audience of international flyers."
4,roamaroo_travel,https://www.tiktok.com/@roamaroo_travel,41300,8.2,9,8,7,6,travel,True,False,authentic,"A flagged-warm LifeStraw family travel couple covering international trips, road trips, and baby travel with 530K IG + 41K TikTok — exactly the ""safe water while traveling"" use case the Sip was built for."
5,sophiaxverde,https://www.tiktok.com/@sophiaxverde,126100,7.5,7,9,9,7,sustainable,True,False,authentic,"A warm-LifeStraw, sustainability-forward hiking creator who already tags #packwithme and covers international trails — a credible Sip seed for the safe-water-while-traveling angle, though her core identity skews Peak-line backcountry rather than everyday-carry/travel."
6,relauren,https://www.tiktok.com/@relauren,304700,7.5,8,9,9,7,sustainable,False,False,authentic,"Lauren Bash is a proven sustainable-swap creator whose ""ditch disposable products"" viral formula (6M+ view hits) maps directly to the Sip's plastic-bottle-cutting hook — and her strict no-overconsumption gifting policy means an endorsement carries genuine credibility."
7,emily.and.christian,https://www.tiktok.com/@emily.and.christian,194800,7.5,8,8,8,8,travel,False,False,authentic,"A Norwegian vanlife couple driving across Europe full-time — every fill-up is a natural Sip moment for safe, bottleless hydration on the road."
8,cassiscastle,https://www.tiktok.com/@cassiscastle,119600,7.5,8,8,8,7,family_amusement,False,False,authentic,"Cassi is a Disney-obsessed amusement-park regular who already shoots ""pack with me"" trip-prep vlogs — The Sip slides in as her go-to reusable straw for every park day and travel haul."
9,isabellamjohn,https://www.tiktok.com/@isabellamjohn,160800,7.5,8,8,7,7,travel,False,False,authentic,"A former-corporate-marketer-turned-digital-nomad actively road-tripping and traveling across 50+ countries — the Sip's ""safe water anywhere abroad"" story is a natural fit for her gear-essentials content alongside her Samsonite partnership."
10,suitelifeoflauren,https://www.tiktok.com/@suitelifeoflauren,107300,7.5,8,8,7,7,travel,False,False,authentic,"A full-time nomad across 54 countries with NBC/Peacock reality-show credibility, Lauren's constant international and domestic travel puts her squarely in the Sip's core use case — safe, refillable water on the road and abroad."
